index,instance,test_type,phase,time_elapsed,gens,cg,population,mr,er,value,bks_gap,lb_gap,penalized_time,solution
10,mtVRP4,I,GA-Genetic,3.8,250,75,100,0.2,0.25,2393.94,176.25,364.54,1518.94,"{0: [0, 67, 40, 4, 62, 65, 41, 18, 70, 42, 0, 31, 11, 12, 3, 56, 1, 0], 1: [0, 69, 23, 52, 25, 55, 14, 53, 63, 0, 27, 33, 66, 35, 64, 48, 0], 2: [0, 21, 17, 68, 72, 10, 75, 22, 0, 73, 43, 58, 54, 34, 36, 60, 6, 0], 3: [0, 9, 38, 2, 37, 5, 19, 0, 20, 51, 45, 0], 4: [0, 28, 39, 8, 59, 13, 7, 44, 0], 5: [0, 16, 49, 32, 50, 71, 61, 74, 24, 0], 6: [0, 26, 47, 30, 46, 29, 15, 57, 0]}"
11,mtVRP4,I,GA-VND,4.44,250,75,100,0.2,0.25,1302.93,50.35,152.83,478.46,"{0: [0, 28, 22, 42, 41, 43, 65, 66, 0, 39, 9, 44, 16, 63, 33, 0], 1: [0, 32, 50, 18, 25, 55, 31, 53, 0, 35, 14, 52, 27, 48, 69, 74, 0], 2: [0, 68, 6, 17, 58, 10, 72, 73, 1, 62, 0, 75, 34, 54, 60, 36, 21, 0], 3: [0, 38, 11, 19, 20, 37, 5, 0, 40, 51, 2, 45, 0], 4: [0, 4, 13, 8, 59, 7, 12, 26, 0], 5: [0, 3, 24, 49, 23, 56, 64, 61, 71, 70, 0], 6: [0, 67, 46, 57, 15, 47, 29, 30, 0]}"
12,mtVRP4,P1,GA-Genetic,92.13,250,750,1000,0.2,0.25,2349.51,171.12,355.91,1474.51,"{0: [0, 30, 26, 45, 48, 71, 72, 34, 46, 9, 0, 19, 65, 33, 2, 28, 8, 0], 1: [0, 40, 23, 17, 15, 73, 16, 4, 0, 47, 68, 5, 70, 3, 10, 32, 18, 0], 2: [0, 50, 62, 25, 39, 60, 41, 42, 67, 0, 53, 59, 11, 57, 36, 13, 43, 0], 3: [0, 35, 31, 61, 22, 44, 24, 12, 49, 55, 0], 4: [0, 7, 51, 38, 58, 1, 20, 37, 74, 0], 5: [0, 69, 14, 52, 63, 27, 64, 56, 0], 6: [0, 66, 21, 6, 75, 29, 54, 0]}"
13,mtVRP4,P1,GA-VND,0.24,250,750,1000,0.2,0.25,1718.97,98.36,233.56,843.97,"{0: [0, 30, 26, 45, 48, 71, 72, 34, 46, 9, 0, 19, 65, 33, 2, 28, 8, 0], 1: [0, 17, 40, 3, 16, 73, 68, 4, 0, 5, 15, 70, 47, 23, 18, 32, 10, 0], 2: [0, 67, 13, 39, 25, 50, 41, 42, 43, 0, 53, 11, 59, 57, 60, 36, 62, 0], 3: [0, 12, 44, 61, 22, 49, 24, 55, 31, 35, 0], 4: [0, 7, 38, 58, 51, 1, 74, 20, 37, 0], 5: [0, 14, 52, 27, 63, 56, 64, 69, 0], 6: [0, 75, 6, 21, 29, 54, 66, 0]}"
14,mtVRP4,G1,GA-Genetic,15.06,1000,75,100,0.2,0.25,2302.84,165.74,346.86,1427.84,"{0: [0, 10, 39, 48, 47, 51, 9, 25, 50, 0, 5, 34, 11, 55, 61, 73, 74, 29, 0], 1: [0, 21, 4, 35, 12, 3, 49, 58, 0, 38, 52, 27, 19, 54, 1, 0], 2: [0, 53, 31, 68, 22, 56, 16, 30, 0, 40, 37, 67, 23, 13, 66, 0], 3: [0, 44, 41, 69, 60, 75, 63, 32, 62, 65, 72, 0, 8, 57, 70, 36, 0], 4: [0, 17, 71, 20, 33, 24, 26, 15, 0], 5: [0, 59, 28, 14, 18, 42, 43, 0], 6: [0, 45, 6, 46, 7, 2, 64, 0]}"
15,mtVRP4,G1,GA-VND,4.86,1000,75,100,0.2,0.25,1383.21,59.62,168.41,518.97,"{0: [0, 40, 12, 39, 9, 25, 50, 0, 35, 53, 31, 55, 18, 24, 68, 75, 0], 1: [0, 4, 8, 7, 26, 3, 49, 1, 2, 0, 27, 54, 19, 11, 10, 58, 0], 2: [0, 66, 38, 23, 56, 22, 74, 30, 0, 34, 48, 47, 37, 13, 67, 0], 3: [0, 5, 36, 69, 62, 41, 63, 44, 32, 72, 65, 0, 45, 57, 60, 70, 0], 4: [0, 15, 20, 71, 33, 16, 51, 17, 0], 5: [0, 59, 14, 52, 28, 43, 42, 73, 0], 6: [0, 46, 29, 21, 61, 64, 6, 0]}"
16,mtVRP4,M1,GA-Genetic,3.82,250,75,100,0.8,0.25,2486.17,186.89,382.43,1611.17,"{0: [0, 6, 24, 67, 33, 12, 13, 30, 0, 10, 1, 37, 60, 21, 38, 0], 1: [0, 5, 19, 48, 74, 61, 7, 29, 36, 72, 0, 17, 54, 34, 16, 25, 55, 42, 3, 0], 2: [0, 58, 15, 14, 41, 40, 31, 0, 4, 44, 51, 43, 46, 27, 0], 3: [0, 9, 50, 26, 20, 63, 28, 0, 53, 59, 66, 0], 4: [0, 11, 32, 52, 69, 70, 71, 75, 0], 5: [0, 56, 57, 68, 64, 8, 62, 35, 22, 49, 0], 6: [0, 47, 45, 18, 73, 23, 39, 2, 65, 0]}"
17,mtVRP4,M1,GA-VND,4.99,250,75,100,0.8,0.25,1359.08,56.83,163.72,484.08,"{0: [0, 4, 37, 20, 34, 67, 0, 6, 33, 16, 3, 44, 0], 1: [0, 7, 52, 29, 5, 48, 74, 36, 61, 42, 0, 54, 19, 58, 72, 25, 55, 32, 40, 0], 2: [0, 75, 1, 41, 43, 63, 51, 17, 0, 12, 31, 38, 14, 46, 27, 0], 3: [0, 26, 9, 50, 73, 28, 21, 0, 66, 59, 53, 0], 4: [0, 10, 11, 57, 15, 70, 60, 71, 69, 47, 0], 5: [0, 23, 56, 68, 35, 8, 13, 22, 64, 62, 0], 6: [0, 45, 30, 2, 49, 24, 18, 39, 65, 0]}"
18,mtVRP4,E1,GA-Genetic,0.97,250,19,100,0.2,0.8,2399.17,176.85,365.55,1524.17,"{0: [0, 13, 54, 62, 68, 49, 58, 8, 67, 26, 0, 37, 20, 11, 41, 60, 74, 73, 22, 0], 1: [0, 7, 47, 14, 35, 3, 39, 56, 0, 21, 10, 65, 71, 34, 27, 59, 70, 0], 2: [0, 29, 12, 38, 32, 19, 46, 18, 0, 75, 4, 57, 17, 6, 51, 16, 0], 3: [0, 5, 48, 31, 42, 33, 24, 0, 44, 0], 4: [0, 52, 45, 30, 25, 43, 36, 15, 69, 61, 72, 0], 5: [0, 64, 9, 55, 50, 66, 23, 0], 6: [0, 1, 40, 2, 28, 63, 53, 0]}"
19,mtVRP4,E1,GA-VND,5.85,250,19,100,0.2,0.8,1321.87,52.54,156.5,474.24,"{0: [0, 57, 15, 21, 64, 42, 41, 43, 1, 0, 37, 70, 20, 14, 59, 66, 0], 1: [0, 39, 10, 53, 35, 46, 34, 75, 0, 65, 11, 7, 27, 5, 60, 71, 47, 0], 2: [0, 4, 13, 54, 19, 38, 32, 18, 0, 67, 26, 12, 17, 3, 16, 6, 0], 3: [0, 30, 48, 2, 0, 33, 23, 56, 24, 44, 31, 0], 4: [0, 52, 8, 72, 25, 22, 61, 69, 36, 29, 45, 0], 5: [0, 68, 51, 49, 50, 55, 9, 0], 6: [0, 40, 58, 63, 73, 62, 28, 74, 0]}"
20,mtVRP5,I,GA-Genetic,4.97,250,75,100,0.2,0.25,3253.92,292.3,455.52,2385.92,"{0: [0, 85, 14, 32, 94, 6, 62, 48, 7, 33, 67, 70, 98, 28, 0, 63, 89, 17, 46, 40, 76, 71, 29, 64, 88, 3, 65, 100, 18, 78, 41, 38, 0], 1: [0, 12, 77, 26, 69, 4, 23, 80, 96, 61, 59, 1, 10, 57, 0, 39, 75, 22, 49, 25, 72, 99, 47, 93, 90, 60, 0], 2: [0, 50, 55, 27, 15, 36, 42, 9, 95, 87, 19, 91, 16, 8, 37, 52, 82, 0, 45, 83, 66, 20, 54, 79, 51, 30, 34, 74, 31, 35, 0], 3: [0, 53, 68, 58, 13, 43, 24, 11, 92, 84, 21, 44, 2, 81, 73, 0, 5, 97, 56, 86, 0]}"
21,mtVRP5,I,GA-VND,3.42,250,75,100,0.2,0.25,2073.26,149.96,253.96,1205.26,"{0: [0, 85, 14, 32, 94, 6, 62, 48, 7, 33, 67, 70, 98, 28, 0, 63, 89, 17, 46, 40, 76, 71, 29, 64, 88, 3, 65, 100, 18, 78, 41, 38, 0], 1: [0, 12, 77, 80, 25, 39, 23, 75, 59, 96, 99, 60, 69, 1, 0, 26, 4, 72, 22, 57, 93, 61, 47, 49, 90, 10, 0], 2: [0, 54, 55, 74, 15, 42, 87, 95, 52, 31, 19, 36, 82, 8, 45, 83, 0, 37, 91, 16, 30, 20, 66, 35, 34, 79, 9, 51, 50, 27, 0], 3: [0, 53, 58, 21, 73, 56, 24, 68, 81, 11, 0, 13, 2, 43, 97, 92, 5, 84, 86, 44, 0]}"
22,mtVRP5,P1,GA-Genetic,104.59,250,750,1000,0.2,0.25,3068.99,270.0,423.95,2200.99,"{0: [0, 18, 68, 100, 9, 44, 11, 84, 5, 48, 57, 16, 0, 98, 47, 94, 13, 56, 26, 99, 7, 88, 58, 73, 42, 29, 97, 0], 1: [0, 22, 2, 60, 66, 62, 69, 81, 39, 95, 25, 10, 74, 46, 0, 59, 96, 61, 91, 30, 49, 36, 20, 54, 38, 92, 17, 82, 32, 0], 2: [0, 85, 89, 76, 3, 71, 27, 14, 15, 4, 55, 23, 0, 65, 63, 33, 78, 31, 8, 41, 40, 12, 90, 50, 34, 28, 87, 43, 0], 3: [0, 19, 77, 35, 37, 93, 45, 64, 6, 53, 52, 79, 70, 72, 1, 21, 0, 51, 80, 24, 67, 75, 86, 83, 0]}"
23,mtVRP5,P1,GA-VND,20.12,250,750,1000,0.2,0.25,1326.49,59.92,126.46,458.49,"{0: [0, 69, 32, 63, 64, 49, 45, 17, 86, 38, 44, 59, 0, 87, 57, 2, 22, 41, 15, 42, 37, 95, 94, 0], 1: [0, 18, 7, 10, 70, 30, 20, 66, 81, 54, 25, 39, 56, 26, 0, 13, 97, 92, 98, 100, 91, 61, 5, 82, 47, 36, 46, 8, 60, 96, 1, 50, 0], 2: [0, 28, 12, 76, 27, 89, 85, 14, 43, 23, 55, 4, 0, 31, 90, 11, 52, 58, 40, 79, 9, 71, 65, 35, 34, 78, 80, 74, 73, 0], 3: [0, 77, 3, 53, 6, 99, 93, 16, 84, 83, 48, 19, 62, 88, 0, 51, 33, 68, 29, 24, 67, 75, 72, 21, 0]}"
24,mtVRP5,G1,GA-Genetic,19.86,1000,75,100,0.2,0.25,3191.67,284.79,444.9,2323.67,"{0: [0, 14, 28, 24, 72, 23, 49, 77, 94, 6, 38, 59, 0, 50, 55, 63, 45, 15, 31, 67, 9, 82, 64, 10, 90, 27, 70, 0], 1: [0, 93, 100, 39, 34, 18, 74, 19, 81, 65, 32, 51, 0, 16, 17, 98, 86, 46, 71, 13, 26, 11, 7, 21, 30, 43, 40, 0], 2: [0, 1, 8, 76, 66, 69, 85, 92, 47, 56, 79, 35, 88, 61, 0, 89, 62, 33, 29, 36, 2, 22, 75, 12, 73, 53, 48, 4, 0], 3: [0, 83, 58, 97, 87, 41, 20, 80, 54, 37, 96, 5, 84, 68, 0, 99, 25, 57, 3, 52, 60, 95, 78, 42, 44, 91, 0]}"
25,mtVRP5,G1,GA-VND,15.22,1000,75,100,0.2,0.25,1352.12,63.01,130.84,484.12,"{0: [0, 26, 54, 55, 25, 67, 23, 15, 43, 38, 14, 94, 0, 52, 88, 31, 10, 32, 63, 64, 49, 62, 0], 1: [0, 70, 30, 51, 50, 76, 40, 21, 74, 39, 34, 65, 71, 81, 0, 98, 16, 86, 17, 45, 46, 19, 7, 93, 100, 42, 13, 53, 0], 2: [0, 69, 1, 33, 79, 92, 85, 61, 47, 36, 11, 90, 20, 66, 35, 0, 28, 12, 77, 29, 24, 56, 75, 22, 73, 2, 18, 8, 48, 82, 0], 3: [0, 6, 95, 97, 87, 57, 41, 72, 4, 58, 5, 84, 83, 60, 89, 0, 80, 68, 3, 78, 9, 27, 96, 99, 44, 91, 37, 59, 0]}"
26,mtVRP5,M1,GA-Genetic,5.01,250,75,100,0.8,0.25,3231.28,289.57,451.66,2363.28,"{0: [0, 55, 92, 2, 48, 5, 72, 6, 26, 10, 58, 78, 22, 95, 37, 0, 53, 73, 87, 7, 24, 25, 41, 94, 33, 70, 20, 43, 30, 45, 18, 21, 40, 0], 1: [0, 85, 98, 69, 8, 28, 54, 80, 31, 29, 81, 47, 0, 82, 44, 1, 38, 17, 83, 88, 96, 15, 14, 75, 97, 16, 0], 2: [0, 3, 9, 93, 60, 36, 61, 91, 52, 64, 68, 11, 99, 42, 90, 34, 67, 0, 86, 12, 49, 4, 35, 79, 89, 57, 27, 63, 0], 3: [0, 76, 46, 66, 32, 62, 77, 65, 19, 84, 39, 59, 0, 13, 50, 71, 51, 23, 74, 100, 56, 0]}"
27,mtVRP5,M1,GA-VND,26.76,250,75,100,0.8,0.25,1201.46,44.85,105.12,333.46,"{0: [0, 13, 95, 85, 16, 86, 42, 57, 21, 40, 58, 0, 26, 4, 56, 22, 41, 89, 82, 48, 7, 52, 0], 1: [0, 6, 96, 5, 60, 18, 88, 31, 69, 1, 9, 81, 78, 29, 80, 28, 0, 62, 47, 8, 83, 98, 37, 100, 91, 44, 38, 14, 43, 15, 87, 0], 2: [0, 3, 33, 27, 99, 93, 17, 45, 36, 49, 64, 11, 92, 97, 2, 73, 72, 0, 53, 12, 68, 79, 34, 35, 20, 30, 70, 10, 0], 3: [0, 51, 71, 65, 66, 32, 90, 63, 19, 46, 84, 61, 59, 94, 0, 76, 50, 77, 24, 54, 55, 25, 39, 67, 23, 75, 74, 0]}"
28,mtVRP5,E1,GA-Genetic,1.27,250,19,100,0.2,0.8,3195.0,285.2,445.46,2327.0,"{0: [0, 4, 18, 7, 41, 56, 50, 12, 88, 90, 33, 30, 79, 71, 53, 36, 63, 76, 0, 86, 64, 35, 98, 59, 60, 16, 8, 54, 44, 84, 45, 0], 1: [0, 93, 14, 26, 67, 9, 20, 29, 80, 15, 77, 24, 13, 65, 0, 68, 72, 97, 70, 11, 62, 27, 75, 10, 19, 0], 2: [0, 47, 99, 91, 21, 82, 61, 3, 85, 49, 73, 43, 38, 92, 0, 31, 58, 5, 96, 42, 52, 34, 1, 55, 81, 89, 95, 57, 0], 3: [0, 25, 6, 46, 23, 100, 28, 39, 22, 40, 51, 94, 78, 0, 87, 37, 66, 69, 83, 48, 17, 74, 2, 32, 0]}"
29,mtVRP5,E1,GA-VND,29.49,250,19,100,0.2,0.8,1235.5,48.95,110.93,367.5,"{0: [0, 21, 74, 75, 56, 81, 9, 71, 35, 65, 66, 31, 88, 0, 94, 5, 84, 61, 16, 86, 44, 91, 0], 1: [0, 97, 14, 15, 41, 40, 69, 1, 77, 80, 68, 29, 24, 67, 4, 26, 0, 18, 82, 19, 11, 62, 10, 32, 51, 33, 50, 0], 2: [0, 90, 63, 64, 49, 36, 47, 45, 17, 85, 100, 42, 57, 43, 38, 92, 0, 89, 6, 96, 99, 95, 58, 53, 12, 34, 78, 79, 3, 76, 27, 0], 3: [0, 52, 7, 48, 46, 8, 83, 60, 22, 23, 39, 25, 55, 20, 30, 70, 0, 13, 59, 93, 98, 37, 87, 2, 73, 72, 54, 28, 0]}"
